session_title,session_abbreviation,session_type,session_topic,session_date,session_time_start,session_time_end,session_location,session_details,session_chair,abstract_title,abstract_time_start,abstract_time_end,authors,abstract_status,abstract_sort_order
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Do Radio Jets Contribute to Driving Ionized Gas Outflows in Moderate Luminosity Type 2 AGN?,5:30 PM,6:30 PM,J. Fowler*; A. Sajina; M. Lacy,Sessioned,8
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,New Chandra Observations of NGC 4151: Modelling the X-Ray Absorption,5:30 PM,6:30 PM,J. Denes Couto*; S. Kraemer; T. Turner; D. M. Crenshaw,Sessioned,9
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Intrinsic Absorption in Quasars (AAL & BAL) and its Relation to Outflows, BH Mass, Accretion Rate, Spin, Orientation, and Radio Properties",5:30 PM,6:30 PM,R. B. Stone*; G. T. Richards,Sessioned,10
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Constraining the Accretion Mode in LINER 1.9s,5:30 PM,6:30 PM,B. Sabra*; E. Der Sahaguian; E. Badr,Sessioned,11
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"The Properties of Low-Luminosity AGN: Variability, Accretion Rate, Black Hole Mass and Color",5:30 PM,6:30 PM,J. Oleas*; S. Podjed; V. Sarajedini,Sessioned,12
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Simulations of Accretion Disk Wind Models,5:30 PM,6:30 PM,C. L. Brooks*; S. Yong; M. O'Dowd; R. L. Webster; N. Bate,Sessioned,13
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Recovering the radial temperature structure of accretion disks around thermal active galactic nuclei,5:30 PM,6:30 PM,S. Nair*; C. Gaskell; J. Hong,Sessioned,14
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Effect of Realistic Radial Temperature Gradients on Predicted Accretion Disk Sizes of Active Galactic Nuclei: Improving Agreement with Estimated Disk Sizes.,5:30 PM,6:30 PM,J. Hong*; C. Gaskell; S. Nair,Sessioned,15
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Cadence Requirements for AGN Accretion Studies with LSST,5:30 PM,6:30 PM,J. Moreno*; M. S. Vogeley; G. T. Richards; V. P. Kasliwal,Sessioned,16
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Can emission line profiles from perturbed accretion disks mimic those from the broad line region of a black hole in a supermassive binary?,5:30 PM,6:30 PM,S. M. Brown*; M. Eracleous; J. C. Runnoe; T. Bogdanovic; S. Sigurdsson; T. A. Boroson; J. P. Halpern,Sessioned,17
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Implications of Profile Variability in Searches for Supermassive Black Hole Binaries,5:30 PM,6:30 PM,A. Pennell*; J. C. Runnoe; S. M. Brown; M. Eracleous; T. Bogdanovic; T. A. Boroson; J. P. Halpern,Sessioned,18
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Searching for the Nearest Extragalactic Binary Black Hole: A Spectroscopic Study of NGC 4736,5:30 PM,6:30 PM,A. Gustafsson*; T. J. Kwan; R. S. Fisher; R. Mason,Sessioned,19
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Constraining the orbits and masses of a supermassive binary black hole system,5:30 PM,6:30 PM,K. Bansal*; G. B. Taylor; R. T. Zavala; A. B. Peck; R. W. Romani,Sessioned,20
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Binary Black Hole Model for Mrk 231 Can Not Explain the Observed Emission Lines,5:30 PM,6:30 PM,K. Leighly*; D. M. Terndrup; S. Gallagher; A. B. Lucy,Sessioned,21
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Searching for Super Massive Binary Black Holes in the VLBA Calibrator Survey,5:30 PM,6:30 PM,B. C. High*; A. B. Peck; A. J. Beasley,Sessioned,22
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Uncovering Binary Supermassive Black Holes in Merging Galaxy Pairs,5:30 PM,6:30 PM,P. McNulty*; S. Satyapal; S. L. Ellison; N. Secrest; M. Gliozzi; B. Rothberg,Sessioned,23
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Testing Mergers as a Trigger for Quasars: Host Galaxy Morphologies,5:30 PM,6:30 PM,T. S. Hamilton*; C. Villforth,Sessioned,24
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Combining Chandra Observations and Near-Infrared Imaging to Search for Dual AGNs Among Double-Peaked [O III] SDSS AGN,5:30 PM,6:30 PM,R. C. McGurk*; C. E. Max; B. Holden; G. A. Shields; A. Medling,Sessioned,25
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,SSC Model Fits to Simultaneous Fermi and CAO observations of Bl Lac's,5:30 PM,6:30 PM,T. Gordon*; D. J. Macomb; J. Hand; J. P. Norris; M. Long,Sessioned,26
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Unveiling Unidentified Fermi Sources,5:30 PM,6:30 PM,L. Zhang*,Sessioned,27
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Spectral Evolution in High Redshift Quasars from the Final BOSS Sample,5:30 PM,6:30 PM,T. Jensen*; J. Bautista; K. Dawson; D. Harris; V. Kamble; V. Mariappan; N. Suzuki,Sessioned,28
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Luminous, High-z, Type-2 Quasars are Still Missing",5:30 PM,6:30 PM,G. T. Richards*; J. F. Hennawi,Sessioned,29
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Extended X-ray and Radio Structures around high-redshift (z~0.5-2) 3CRR sources,5:30 PM,6:30 PM,S. Nedzinskas*; B. J. Wilkes; J. Kuraszkiewicz; A. Atanas; M. Birkinshaw; D. M. Worrall,Sessioned,30
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,On Building a 3D Model of the M87 Jet,5:30 PM,6:30 PM,K. Li*; K. Kosak; S. S. Avachat; E. S. Perlman,Sessioned,31
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Spectacular Radio-Near-IR-X-Ray Jet of 3C 111,5:30 PM,6:30 PM,D. Clautice*; E. S. Perlman; M. Georganopoulos; M. L. Lister; F. Tombesi; M. Cara; H. L. Marshall; B. S. Hogan; D. Kazanas,Sessioned,32
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Supersonic inflation of the radio lobes of NGC 1052: evidence for non-thermal particle acceleration,5:30 PM,6:30 PM,T. A. Morris*; R. P. Kraft; C. Jones,Sessioned,33
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Population Studies of Quasars in Infrared and X-Ray Light,5:30 PM,6:30 PM,J. George*; J. Singal,Sessioned,34
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Solving the puzzle of discrepant quasar variability on monthly time scales implied by SDSS and CRTS datasets,5:30 PM,6:30 PM,K. Suberlak*; Z. Ivezic; C. L. MacLeod; M. Graham; J. J. Ruan,Sessioned,35
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Initial Results from a COS Survey of PG Quasars,5:30 PM,6:30 PM,A. D. To*; D. Rupke; S. Veilleux,Sessioned,36
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Bayesian and Profile Likelihood Approaches to Time Delay Estimation for Stochastic Time Series of Gravitationally Lensed Quasars,5:30 PM,6:30 PM,H. Tak*; K. Mandel; D. A. van Dyk; V. Kashyap; X. Meng; A. Siemiginowska,Sessioned,37
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Jansky VLA Imaging of Heavily Obscured, Luminous Quasars at Redshifts ~2",5:30 PM,6:30 PM,A. Trapp*; C. J. Lonsdale; P. Patil; M. Whittle; M. Lacy; C. J. Lonsdale,Sessioned,38
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Pan-STARRS1 z>6 quasar survey: More than 100 quasars within the first Gyr of the universe,5:30 PM,6:30 PM,F. Walter*; E. Banados; B. Venemans; R. Decarli; E. Farina; C. Mazzucchelli; X. Fan; K. C. Chambers,Sessioned,39
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Quasars in the Time Domain: Supermassive Black Hole Binaries and Extreme Objects,5:30 PM,6:30 PM,M. Graham*; S. G. Djorgovski; D. Stern; A. J. Drake; A. A. Mahabal; E. Glikman,Sessioned,40
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Blazar Demographics Using Multiwavelength Data,5:30 PM,6:30 PM,P. Mao*; F. Massaro; C. M. Urry,Sessioned,41
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Using the H-β Emission Line as a Means of Mass Determination for Spiral Galaxy AGNs,5:30 PM,6:30 PM,T. Cameron*; L. Ratz; D. L. Burris,Sessioned,42
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Potential for Cubesats to Determine Black Holes Masses in Nearby Active Galactic Nuclei and Contribute to Other Time Domain Science,5:30 PM,6:30 PM,V. Gorjian*; D. R. Ardila; A. J. Barth; S. Janson; C. S. Kochanek; M. A. Malkan; B. M. Peterson; D. Rowen; S. Seager; E. L. Shkolnik,Sessioned,43
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Probing the Relationship Between Black Hole Mass and Galaxy Mass for Reverberation-Mapped AGN,5:30 PM,6:30 PM,B. Ou-Yang*; M. Bentz; M. C. Johnson,Sessioned,44
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Searching with the Large Binocular Telescope for Accreting Supermassive Black Holes in Bulgeless Galaxies,5:30 PM,6:30 PM,J. Ferguson*; A. Constantin; S. Satyapal; B. Rothberg,Sessioned,45
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Observations of WIBRaLS Blazars with K2,5:30 PM,6:30 PM,M. T. Carini*; R. Brown,Sessioned,48
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characteristics of the optical variability of AGNs as a possible identification tool,5:30 PM,6:30 PM,A. Romelfanger*,Sessioned,50
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,An optical and near-infrared color-magnitude diagram for type I Active Galactic Nuclei,5:30 PM,6:30 PM,R. J. Palmer*; J. Gibbs; V. Gorjian ; L. Pruett; D. Young; R. Boyd; J. Byrd; J. Cheshier; S. Chung; R. Clark; J. Fernandez; E. Gonzales; A. Kumar; G. McGinnis; J. Palmer; L. Perrine; B. Phelps; M. Reginio; K. Richter; E. Sanchez; C. Washburn,Sessioned,51
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Modeling the SED of LLAGNs,5:30 PM,6:30 PM,V. Petersen*; H. Flohic,Sessioned,52
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Filling The Gap of LINERs' SED,5:30 PM,6:30 PM,G. Curell*; V. Petersen; H. Flohic,Sessioned,53
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Mid-IR Observations of AGN,5:30 PM,6:30 PM,C. C. Packham*; A. Alonso Herrero; N. A. Levenson,Sessioned,54
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Imaging AGN Feedback in NGC 3393 with CHEERS,5:30 PM,6:30 PM,W. P. Maksym*; G. Fabbiano; M. Elvis; M. Karovska; A. Paggi; J. Wang; T. Storchi-Bergmann,Sessioned,55
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,NGC1266: Compton-thick AGN or Ultra-compact Starburst?,5:30 PM,6:30 PM,L. Lanz*; K. A. Alatalo; M. Brightman; P. M. Ogle; P. N. Appleton,Sessioned,56
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Swift monitoring of the ""bare"" AGN Ark120",5:30 PM,6:30 PM,M. Gliozzi*,Sessioned,57
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A WISE Test of Links Between Megamaser Activity and Nuclear Obscuration,5:30 PM,6:30 PM,C. Witherspoon*; A. Constantin,Sessioned,58
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,GBT spectral monitoring observations of megamaser disk systems,5:30 PM,6:30 PM,D. Pesce*; J. A. Braatz; J. J. Condon; F. Gao; C. Henkel; E. Litzinger; F. K. Lo; M. J. Reid,Sessioned,59
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The 2013-2015 Optical Outburst and Historic Light Curve of the Blazar 3C 454.3,5:30 PM,6:30 PM,T. J. Balonek*; Z. Weaver; N. Didio; L. Jenks; C. Morris; J. Zagorac; B. D'Auteuil; K. L. Karnes; J. S. Reding; C. Rose; A. M. Rilinger; M. T. Lam,Sessioned,60
"AGN, QSO, Blazars Poster Session",243,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,The Significance of Star Formation in Active Galactic Nuclei,5:30 PM,6:30 PM,A. Manzewitsch*; G. D. Thompson,Sessioned,61
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Teaching Fair Use with Astronomy Imagery,5:30 PM,6:30 PM,T. Wilson*,Sessioned,1
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Do Interactive Globes and Games Help Students Learn Planetary Science?,5:30 PM,6:30 PM,F. Coba*; S. Burgin; D. De Paor; J. Georgen,Sessioned,2
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Pedagogical Discipline Representations that Facilitate the Learning of Complex Modern Astrophysics Topics,5:30 PM,6:30 PM,C. S. Wallace*; T. G. Chambers; E. E. Prather; J. R. Kamenetzky; S. D. Hornstein,Sessioned,3
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Enhancing ASTRO101 Student Engagement Using Student-Created ScienceSKETCHES,5:30 PM,6:30 PM,T. F. Slater*; S. Slater,Sessioned,4
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A New Coherent Science Content Storyline Astronomy Course for Pre-Service Teachers at Penn State,5:30 PM,6:30 PM,C. Palma*; J. Plummer,Sessioned,5
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Teaching ASTRO 101 Students the Art of Scientific Argumentation,5:30 PM,6:30 PM,S. P. Schleigh*; S. Slater; T. F. Slater,Sessioned,6
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Development of an Online Exoplanet Course for In-Service Teachers,5:30 PM,6:30 PM,D. Barringer*; C. Palma,Sessioned,7
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Big Data in AER,5:30 PM,6:30 PM,J. M. Kregenow*,Sessioned,8
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Discovery & Interaction in Astro 101 Laboratory Experiments,5:30 PM,6:30 PM,F. P. Maloney*; P. Maurone; L. E. DeWarf,Sessioned,9
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Astronomy Fun with Mobile Devices,5:30 PM,6:30 PM,C. A. Pilachowski*; F. Morris,Sessioned,10
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Automated Estimation of the Orbital Parameters of Jupiter’s Moons,5:30 PM,6:30 PM,E. Western*; G. T. Ruch,Sessioned,11
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Discovering Astronomy: An Astro 101 e-book,5:30 PM,6:30 PM,S. J. Shawl*; G. Byrd; S. E. Deustua; M. C. LoPresto,Sessioned,12
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Concept-Oriented Custom Lab Manual for Astronomy 101,5:30 PM,6:30 PM,N. McCrady*; E. L. Rice,Sessioned,13
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Modifying your Physics and Astronomy Courses to Incorporate Heliophysics - Some Examples,5:30 PM,6:30 PM,R. Cebulka*; R. Cox; A. Rodriguez Garrigues; L. Hoshino; C. Fitzgerald; M. Montgomery; A. N. Al-Rawi; C. Velissaris; E. Flitsiyan,Sessioned,14
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Observing Projects in Introductory Astronomy,5:30 PM,6:30 PM,M. S. Taylor*,Sessioned,15
College-Level General Education Practices and Resources Poster Session,245,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Astronomy for Everyone: Harvard's Move Toward an All-Inclusive Astronomy Lab and Telescope,5:30 PM,6:30 PM,A. Bieryla*,Sessioned,16
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Characterizing Dust Attenuation in Local Star Forming Galaxies,5:30 PM,6:30 PM,A. Battisti*; D. Calzetti; R. Chary,Sessioned,1
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Extinction Mapping of Nearby Galaxies with LEGUS,5:30 PM,6:30 PM,L. Kahre*; R. A. Walterbos; E. Sabbi; D. A. Thilker; L. Ubeda,Sessioned,2
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Covariance between Star Formation Rates and Dust Mass of KINGFISH Galaxies,5:30 PM,6:30 PM,R. Rojas Bolivar*; D. Calzetti; D. A. Dale; D. Cook,Sessioned,3
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Herschel Dust Measurements of SDSS Supernovae Host Galaxies,5:30 PM,6:30 PM,D. Trinh*; A. R. Cooray; H. Nayyeri,Sessioned,4
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,ZFOURGE: UV to FIR Luminosities and Dust Attenuation Determined from ∼4000 K-Selected Galaxies at 1 < z < 3,5:30 PM,6:30 PM,B. Forrest*; K. Tran,Sessioned,5
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Improving the Pan-STARRs/2MASS 3-D dust map: Regularization for increased resolution and fidelity.,5:30 PM,6:30 PM,D. P. Finkbeiner*; G. Green; A. Lee; E. F. Schlafly,Sessioned,6
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Dust Reddening Variation in the Milky Way,5:30 PM,6:30 PM,A. Lee*; D. P. Finkbeiner; G. Green; E. F. Schlafly,Sessioned,7
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Milky Way Dust in 3D using Pan-STARRS 1,5:30 PM,6:30 PM,G. Green*; E. F. Schlafly; A. Lee; D. P. Finkbeiner,Sessioned,8
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Interstellar Extinction and its Variation in the Galaxy,5:30 PM,6:30 PM,E. F. Schlafly*; H. Rix; D. P. Finkbeiner; G. Green; A. Lee; A. M. Meisner,Sessioned,9
Dust Poster Session,242,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Investigation of Reddening in Fields of the SMASH Survey,5:30 PM,6:30 PM,E. A. Juelfs*; K. A. Olsen,Sessioned,10
"Evolved Stars, Cataclysmic Variables, and Novae Poster Session",239,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Photometry of the Variable Bright Red Supergiant Betelgeuse from the Ground and from Space with the BRITE Nano-satellites,5:30 PM,6:30 PM,R. Minor*; E. F. Guinan,Sessioned,1
"Evolved Stars, Cataclysmic Variables, and Novae Poster Session",239,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,Out on a Limb: Updates on the Search for X-ray Emission from AGB Stars,5:30 PM,6:30 PM,R. Montez*; S. Ramstedt; A. Santiago-Boyd; J. Kastner; W. Vlemmings,Sessioned,2
"Evolved Stars, Cataclysmic Variables, and Novae Poster Session",239,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,"Searching for Cool Dust in the Mid-to-Far Infrared: The Mass Loss Histories of the Hypergiants mu Cep, VY CMa, IRC +10420, and rho Cas",5:30 PM,6:30 PM,R. M. Humphreys*,Sessioned,3
"Evolved Stars, Cataclysmic Variables, and Novae Poster Session",239,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,A Runaway Red Supergiant in M31,5:30 PM,6:30 PM,K. A. Evans*; P. Massey,Sessioned,4
"Evolved Stars, Cataclysmic Variables, and Novae Poster Session",239,Poster Session,,06-Jan-2016,5:30 PM,6:30 PM,Exhibit Hall A (Gaylord Palms Resort and Convention Center),,,HST/COS Observations of the UV-Bright Star Y453 in the Globular Cluster M4 (NGC 6121),5:30 PM,6:30 PM,W. V. Dixon*; P. Chayer; R. A. Benjamin,Sessioned,5
